geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
3137391;Sørum;Sorum;59.98709;11.24019;ADM2;NO;01;0226;14942;2010-12-07
3137400;Sør-Trøndelag Fylke;Sor-Trondelag Fylke;63.4292;10.3945;ADM1;NO;16;;272567;2017-09-21
3137404;Sortland;Sortland;68.69618;15.41174;ADM2;NO;09;1870;9732;2014-07-10
3137432;Sørreisa;Sorreisa;69.14697;18.15629;ADM2;NO;18;1925;3360;2014-02-03
3137441;Sør-Odal;Sor-Odal;60.25455;11.68246;ADM2;NO;06;0419;7795;2010-12-07
3137519;Sør-Fron;Sor-Fron;61.55652;9.93949;ADM2;NO;11;0519;3183;2014-07-10
3137522;Sørfold;Sorfold;67.34803;15.59445;ADM2;NO;09;1845;2021;2014-02-03
3137635;Sør-Aurdal;Sor-Aurdal;60.82242;9.54836;ADM2;NO;11;0540;3204;2014-07-10
3137638;Audnedal;Audnedal;58.28378;7.35487;ADM2;NO;19;1027;1630;2014-02-03
3137678;Søndre Land;Sondre Land;60.69944;10.35086;ADM2;NO;11;0536;5797;2010-12-07
3137700;Sømna;Somna;65.31379;12.16729;ADM2;NO;09;1812;2054;2014-02-03
3137740;Solund;Solund;61.07394;4.83876;ADM2;NO;15;1412;876;2010-12-07
3137941;Sola;Sola;58.88806;5.64728;ADM2;NO;14;1124;22076;2014-07-10
3137953;Sokndal;Sokndal;58.34256;6.29425;ADM2;NO;14;1111;3246;2010-12-07
3137966;Sogn og Fjordane Fylke;Sogn og Fjordane Fylke;61.1826;6.8526;ADM1;NO;15;;107032;2017-09-21
3137970;Søgne;Sogne;58.09663;7.81491;ADM2;NO;19;1018;10417;2010-12-07
3137974;Sogndal;Sogndal;61.23144;7.10301;ADM2;NO;15;1420;6968;2014-02-03
3138047;Snillfjord;Snillfjord;63.39973;9.50194;ADM2;NO;16;1613;988;2010-12-07
3138075;Snåsa;Snasa;64.24606;12.38294;ADM2;NO;10;1736;2176;2010-12-07
3138113;Smøla;Smola;63.46526;8.01814;ADM2;NO;08;1573;2119;2010-12-07
3138746;Skodje;Skodje;62.50306;6.69817;ADM2;NO;08;1529;3901;2014-07-10
3138965;Skjåk;Skjak;61.88349;8.2649;ADM2;NO;11;0513;2307;2010-12-07
3139014;Skiptvet;Skiptvet;59.47751;11.16171;ADM2;NO;13;0127;3492;2010-12-07
